letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
A,258.0,0.20476190476190476,"(19.65891472868217, 21.313953488372093)","(0.5331118493909192, 0.597469220246238)","(23017.56976744186, 15659.98449612403)","(9.1303331088623, 6.211814556177719)"
B,427.0,0.3935483870967742,"(16.4192037470726, 18.311475409836067)","(0.5139734582357534, 0.5091610414657667)","(48715.5737704918, 32733.962529274006)","(22.285257900499452, 14.974365292440076)"
C,238.0,0.22666666666666666,"(11.163865546218487, 17.235294117647058)","(0.3504781222833961, 0.47750865051903113)","(29334.82352941176, 19030.609243697476)","(13.804622837370239, 8.955580820563519)"
D,408.0,0.34285714285714286,"(17.933823529411764, 18.014705882352942)","(0.5131461675579323, 0.5004325259515571)","(49029.91176470589, 45695.213235294104)","(20.59215109815451, 19.19160572670899)"
E,320.0,0.31527093596059114,"(12.990625, 18.078125)","(0.4282366071428571, 0.5022977941176471)","(43603.046875, 16680.971874999996)","(21.10505657066796, 8.074042533881896)"
F,240.0,0.26373626373626374,"(10.791666666666666, 15.7125)","(0.39166666666666666, 0.43272058823529413)","(30157.16249999999, 8353.583333333332)","(15.86384139926354, 4.394310012274241)"
G,332.0,0.2710204081632653,"(16.03614457831325, 19.198795180722893)","(0.442239546420978, 0.5352586817859675)","(35430.87951807229, 39993.56626506022)","(14.461583476764199, 16.323904597983763)"
H,381.0,0.3110204081632653,"(18.091863517060368, 18.083989501312335)","(0.5027018681488343, 0.5024702794503628)","(46415.312335958006, 40209.78477690288)","(18.945025443248166, 16.412157051797095)"
I,199.0,0.379047619047619,"(8.0, 18.0)","(0.5, 0.5)","(24654.0, 926.0)","(17.002758620689654, 0.6386206896551724)"
J,195.0,0.2932330827067669,"(10.78974358974359, 17.630769230769232)","(0.5438746438746439, 0.4891402714932127)","(23259.415384615382, 2100.379487179487)","(14.665457367348917, 1.3243250234422996)"
K,363.0,0.2803088803088803,"(15.413223140495868, 19.52341597796143)","(0.4003673094582185, 0.5448063522929832)","(46832.55096418733, 27100.016528925615)","(18.05418310107453, 10.447192185399235)"
L,241.0,0.2374384236453202,"(10.410788381742739, 20.57261410788382)","(0.3360995850622407, 0.5756651208201123)","(33294.979253112026, 8694.331950207468)","(16.115672436162644, 4.208292328270797)"
M,479.0,0.31103896103896106,"(23.215031315240083, 17.937369519832984)","(0.5166286352381415, 0.4981579270539113)","(52170.12108559499, 77836.85177453028)","(16.504309106483703, 24.624122674637864)"
N,336.0,0.2594594594594595,"(18.88095238095238, 17.00297619047619)","(0.49669312169312163, 0.47067577030812324)","(34926.99702380953, 33229.2380952381)","(13.464532391599663, 12.810037816205897)"
O,344.0,0.29783549783549784,"(16.875, 18.125)","(0.49609375, 0.5036764705882353)","(33345.625, 45491.625)","(14.410382454624028, 19.659302074330164)"
P,293.0,0.321978021978022,"(13.003412969283277, 15.194539249146757)","(0.48013651877133107, 0.4174864485043164)","(30691.91126279864, 14678.996587030719)","(16.145140064596866, 7.72172361232547)"
Q,377.0,0.278640059127864,"(17.180371352785144, 19.954907161803714)","(0.5056366047745358, 0.47387267904509284)","(47656.23342175065, 46427.73474801061)","(17.204416397743916, 16.760915071483975)"
R,376.0,0.31596638655462184,"(15.305851063829786, 18.14095744680851)","(0.43351063829787234, 0.5041458072590739)","(44125.52925531917, 23181.827127659584)","(18.532351640201245, 9.736172670163622)"
S,277.0,0.3440993788819876,"(12.180505415162456, 18.382671480144403)","(0.5082047915982935, 0.5112550435336589)","(30539.43682310469, 12966.974729241876)","(17.41130947725467, 7.392802012110534)"
T,222.0,0.22653061224489796,"(14.536036036036036, 14.635135135135135)","(0.5013346680013346, 0.40103338632750396)","(32633.445945945943, 6919.211711711712)","(16.243626653034315, 3.4441073726788014)"
U,272.0,0.21003861003861005,"(16.1875, 16.540441176470587)","(0.421875, 0.45707179930795844)","(33753.555147058825, 29487.4375)","(13.012164667331852, 11.367554934464149)"
V,244.0,0.19365079365079366,"(16.508196721311474, 14.573770491803279)","(0.44309133489461355, 0.39922854387656703)","(24493.672131147538, 16322.98360655738)","(9.715855664874073, 6.47480507995136)"
W,422.0,0.25653495440729485,"(22.277251184834125, 15.206161137440759)","(0.4625489388007418, 0.4178282687482576)","(40287.063981042644, 50370.561611374396)","(11.731818282190636, 14.668189170464297)"
X,323.0,0.2563492063492063,"(18.541795665634673, 17.8390092879257)","(0.5011941618752763, 0.4952649790566382)","(44947.628482972126, 22272.18575851394)","(17.829285395863597, 8.83466313308764)"
Y,269.0,0.21349206349206348,"(16.936802973977695, 15.33457249070632)","(0.4553372278279341, 0.4216050732560682)","(32743.88847583643, 13879.92565055762)","(12.988452390256418, 5.505722193795169)"
Z,296.0,0.2916256157635468,"(14.885135135135135, 18.35472972972973)","(0.4958976833976834, 0.5104332273449921)","(45769.75337837838, 16002.094594594591)","(22.153801248005024, 7.745447528845397)"
